DATE	TIME	BID	ASK	LAST	VOLUME	FLAGS
2022-06-17	18:44:00	61984				2
2022-06-17	18:44:00			61984	1	88
2022-06-17	18:44:00			61984	1	88
2022-06-17	18:44:00			61984	1	88
2022-06-17	18:44:00			61984	2	88
2022-06-17	18:44:00			61984	1	88
2022-06-17	18:44:00			61983	10	56
2022-06-17	18:44:00			61982	10	88
2022-06-17	18:44:00			61982	2	88
2022-06-17	18:44:00			61982	1	88
2022-06-17	18:44:00			61981	1	88
2022-06-17	18:44:00			61981	1	88
2022-06-17	18:44:00			61981	5	88
2022-06-17	18:44:00			61981	3	88
2022-06-17	18:44:00			61981	2	88
2022-06-17	18:44:00			61980	2	88
2022-06-17	18:44:00			61980	1	56
2022-06-17	18:44:00			61980	1	56
2022-06-17	18:44:00			61980	1	56
2022-06-17	18:44:00			61980	1	56
2022-06-17	18:44:00			61980	1	56
2022-06-17	18:44:00			61980	5	56
2022-06-17	18:44:00			61980	5	88
2022-06-17	18:44:00			61980	2	88
2022-06-17	18:44:00			61980	2	88
2022-06-17	18:44:00			61979	2	88
2022-06-17	18:44:00	61979				2
2022-06-17	18:44:00	61985				2
2022-06-17	18:44:00			61988	1	56
2022-06-17	18:44:00	61982				2
2022-06-17	18:44:00			61985	1	88
2022-06-17	18:44:00	61981				2
2022-06-17	18:44:00			61988	1	56
2022-06-17	18:44:00			61988	1	56
2022-06-17	18:44:00			61989	2	56
2022-06-17	18:44:00			61990	2	56
2022-06-17	18:44:00			61990	2	56
2022-06-17	18:44:00			61991	2	56
2022-06-17	18:44:00			61991	1	88
2022-06-17	18:44:00			61991	2	56
2022-06-17	18:44:00			61992	1	56
2022-06-17	18:44:00			61992	2	56
2022-06-17	18:44:00			61992	1	88
2022-06-17	18:44:00			61992	1	88
2022-06-17	18:44:00		61992			4
2022-06-17	18:44:00	61988				2
2022-06-17	18:44:00			61988	4	88
2022-06-17	18:44:00	61981	61988			6
2022-06-17	18:44:00	61980				2
2022-06-17	18:44:01			61988	1	56
2022-06-17	18:44:01	61979				2
2022-06-17	18:44:01			61980	2	88
2022-06-17	18:44:01			61980	1	56
2022-06-17	18:44:01	61980				2
2022-06-17	18:44:01			61988	2	56
2022-06-17	18:44:01			61988	6	56
2022-06-17	18:44:01			61988	2	56
2022-06-17	18:44:01			61988	2	56
2022-06-17	18:44:01			61988	2	56
2022-06-17	18:44:01		61987			4
2022-06-17	18:44:01		61984			4
2022-06-17	18:44:01			61980	1	88
2022-06-17	18:44:01			61984	1	56
2022-06-17	18:44:01			61987	1	56
2022-06-17	18:44:01			61988	1	56
2022-06-17	18:44:01			61988	1	56
2022-06-17	18:44:01			61988	1	56
2022-06-17	18:44:01			61988	1	56
2022-06-17	18:44:01			61988	1	56
2022-06-17	18:44:01			61988	1	56
2022-06-17	18:44:01			61988	1	56
2022-06-17	18:44:01			61988	1	56
2022-06-17	18:44:01	61987	61988			6
2022-06-17	18:44:01			61987	1	88
2022-06-17	18:44:01			61987	1	88
2022-06-17	18:44:01			61987	1	88
2022-06-17	18:44:01			61986	1	88
2022-06-17	18:44:01			61986	1	88
2022-06-17	18:44:01	61984				2
2022-06-17	18:44:01			61985	1	88
2022-06-17	18:44:01			61984	2	88
2022-06-17	18:44:01	61983	61987			6
2022-06-17	18:44:01			61984	1	88
2022-06-17	18:44:01			61984	1	88
2022-06-17	18:44:01	61984				2
2022-06-17	18:44:02	61985				2
2022-06-17	18:44:02			61987	1	56
2022-06-17	18:44:03			61987	1	56
2022-06-17	18:44:03			61988	1	56
2022-06-17	18:44:03	61969	61970			6
2022-06-17	18:44:03			61985	1	88
2022-06-17	18:44:03			61984	2	88
2022-06-17	18:44:03			61984	1	56
2022-06-17	18:44:03			61983	4	88
2022-06-17	18:44:03			61983	2	88
2022-06-17	18:44:03			61983	4	88
2022-06-17	18:44:03			61982	4	88
2022-06-17	18:44:03			61982	4	88
2022-06-17	18:44:03			61982	2	88
2022-06-17	18:44:03			61982	4	88
2022-06-17	18:44:03			61981	2	88
2022-06-17	18:44:03			61981	2	88
2022-06-17	18:44:03			61981	2	88
2022-06-17	18:44:03			61981	2	88
2022-06-17	18:44:03			61981	2	88
2022-06-17	18:44:03			61981	1	88
2022-06-17	18:44:03			61980	1	88
2022-06-17	18:44:03			61980	1	56
2022-06-17	18:44:03			61980	1	88
2022-06-17	18:44:03			61980	2	88
2022-06-17	18:44:03			61980	1	88
2022-06-17	18:44:03			61980	4	88
2022-06-17	18:44:03			61980	2	88
2022-06-17	18:44:03			61980	2	88
2022-06-17	18:44:03			61979	15	88
2022-06-17	18:44:03			61979	1	88
2022-06-17	18:44:03			61979	1	56
2022-06-17	18:44:03			61979	2	88
2022-06-17	18:44:03			61979	1	88
2022-06-17	18:44:03			61979	4	88
2022-06-17	18:44:03			61979	2	88
2022-06-17	18:44:03			61979	1	88
2022-06-17	18:44:03			61978	1	88
2022-06-17	18:44:03			61978	2	56
2022-06-17	18:44:03			61978	2	88
2022-06-17	18:44:03			61978	2	88
2022-06-17	18:44:03			61977	1	88
2022-06-17	18:44:03			61977	5	88
2022-06-17	18:44:03			61977	15	88
2022-06-17	18:44:03			61977	5	88
2022-06-17	18:44:03			61977	5	88
2022-06-17	18:44:03			61977	5	88
2022-06-17	18:44:03			61977	2	56
2022-06-17	18:44:03			61977	5	56
2022-06-17	18:44:03			61977	2	88
2022-06-17	18:44:03			61977	2	88
2022-06-17	18:44:03			61977	1	88
2022-06-17	18:44:03			61976	1	88
2022-06-17	18:44:03			61976	1	88
2022-06-17	18:44:03			61976	2	88
2022-06-17	18:44:03			61976	2	88
2022-06-17	18:44:03			61976	1	88
2022-06-17	18:44:03			61976	2	88
2022-06-17	18:44:03			61975	6	88
2022-06-17	18:44:03			61975	1	88
2022-06-17	18:44:03			61975	1	88
2022-06-17	18:44:03			61975	2	88
2022-06-17	18:44:03			61975	25	88
2022-06-17	18:44:03			61975	3	88
2022-06-17	18:44:03			61975	1	88
2022-06-17	18:44:03			61975	2	88
2022-06-17	18:44:03			61974	1	88
2022-06-17	18:44:03			61974	2	88
2022-06-17	18:44:03			61974	1	88
2022-06-17	18:44:03			61974	2	88
2022-06-17	18:44:03			61974	2	88
2022-06-17	18:44:03			61974	5	88
2022-06-17	18:44:03			61974	2	88
2022-06-17	18:44:03			61974	1	56
2022-06-17	18:44:03			61974	1	56
2022-06-17	18:44:03			61973	5	88
2022-06-17	18:44:03			61973	1	88
2022-06-17	18:44:03			61973	5	88
2022-06-17	18:44:03			61973	1	88
2022-06-17	18:44:03			61973	1	88
2022-06-17	18:44:03			61973	18	88
2022-06-17	18:44:03			61973	2	88
2022-06-17	18:44:03			61973	6	56
2022-06-17	18:44:03			61973	2	56
2022-06-17	18:44:03			61973	10	56
2022-06-17	18:44:03			61972	1	88
2022-06-17	18:44:03			61972	200	88
2022-06-17	18:44:03			61972	1	88
2022-06-17	18:44:03			61972	2	88
2022-06-17	18:44:03			61972	1	56
2022-06-17	18:44:03			61971	2	88
2022-06-17	18:44:03			61971	2	88
2022-06-17	18:44:03			61970	55	88
2022-06-17	18:44:03			61970	1	88
2022-06-17	18:44:03			61970	1	88
2022-06-17	18:44:03			61970	1	88
2022-06-17	18:44:03			61970	1	88
2022-06-17	18:44:03			61970	8	88
2022-06-17	18:44:03			61970	2	88
2022-06-17	18:44:03			61970	1	56
2022-06-17	18:44:03			61970	2	56
2022-06-17	18:44:03			61970	5	56
2022-06-17	18:44:03			61970	169	56
2022-06-17	18:44:03			61969	1	88
2022-06-17	18:44:03			61969	1	88
2022-06-17	18:44:03			61970	4	56
2022-06-17	18:44:03			61970	4	56
2022-06-17	18:44:03			61970	4	56
2022-06-17	18:44:03			61970	4	56
2022-06-17	18:44:03			61970	1	56
2022-06-17	18:44:03			61970	4	56
2022-06-17	18:44:03			61970	1	56
2022-06-17	18:44:03			61970	25	56
2022-06-17	18:44:03			61969	2	56
2022-06-17	18:44:03			61970	2	56
2022-06-17	18:44:03			61970	4	56
2022-06-17	18:44:03			61970	4	56
2022-06-17	18:44:03			61969	4	88
2022-06-17	18:44:03			61968	1	88
2022-06-17	18:44:03			61969	8	56
2022-06-17	18:44:03	61967	61969			6
2022-06-17	18:44:03			61969	4	56
2022-06-17	18:44:03			61969	1	56
2022-06-17	18:44:03			61967	6	88
2022-06-17	18:44:03			61969	1	56
2022-06-17	18:44:03			61967	1	88
2022-06-17	18:44:03	61968				2
2022-06-17	18:44:03			61968	1	88
2022-06-17	18:44:03			61969	1	56
2022-06-17	18:44:03			61969	1	56
2022-06-17	18:44:03			61968	2	88
2022-06-17	18:44:03			61968	2	88
2022-06-17	18:44:03	61967	61968			6
2022-06-17	18:44:03			61968	1	88
2022-06-17	18:44:03	61968	61969			6
2022-06-17	18:44:03			61968	1	56
2022-06-17	18:44:03			61968	2	88
2022-06-17	18:44:03			61968	2	88
2022-06-17	18:44:03	61965	61968			6
2022-06-17	18:44:03			61968	1	88
2022-06-17	18:44:03			61967	4	88
2022-06-17	18:44:03			61967	1	88
2022-06-17	18:44:03			61966	1	88
2022-06-17	18:44:03			61966	3	88
2022-06-17	18:44:03			61965	5	88
2022-06-17	18:44:03	61966				2
2022-06-17	18:44:03			61966	1	88
2022-06-17	18:44:03	61965				2
2022-06-17	18:44:03			61966	5	88
2022-06-17	18:44:03			61965	5	88
2022-06-17	18:44:03			61965	6	88
2022-06-17	18:44:03	61966				2
2022-06-17	18:44:03			61966	2	88
2022-06-17	18:44:03			61968	1	56
2022-06-17	18:44:03			61966	1	88
2022-06-17	18:44:04	61968	61969			6
2022-06-17	18:44:04			61968	1	56
2022-06-17	18:44:04			61968	1	88
2022-06-17	18:44:04	61966	61970			6
2022-06-17	18:44:04			61966	1	88
2022-06-17	18:44:04			61970	2	56
2022-06-17	18:44:04			61966	2	88
2022-06-17	18:44:04			61965	3	88
2022-06-17	18:44:04	61967				2
2022-06-17	18:44:04			61970	1	56
2022-06-17	18:44:04			61967	2	88
2022-06-17	18:44:04			61970	1	56
2022-06-17	18:44:04			61970	1	56
2022-06-17	18:44:04			61970	15	56
2022-06-17	18:44:04			61970	10	56
2022-06-17	18:44:04			61970	23	56
2022-06-17	18:44:04			61967	1	88
2022-06-17	18:44:04			61970	1	56
2022-06-17	18:44:04	61968				2
2022-06-17	18:44:04			61970	3	56
2022-06-17	18:44:04			61968	2	88
2022-06-17	18:44:05			61970	7	56
2022-06-17	18:44:05			61969	1	56
2022-06-17	18:44:05			61968	1	88
2022-06-17	18:44:05			61970	4	56
2022-06-17	18:44:05			61970	7	56
2022-06-17	18:44:05	61967				2
2022-06-17	18:44:05			61968	2	88
2022-06-17	18:44:05		61968			4
2022-06-17	18:44:05		61970			4
2022-06-17	18:44:05			61968	6	56
2022-06-17	18:44:05	61968				2
2022-06-17	18:44:05			61970	2	56
2022-06-17	18:44:05			61970	1	56
2022-06-17	18:44:05			61970	5	56
2022-06-17	18:44:05	61969				2
2022-06-17	18:44:05			61969	2	88
2022-06-17	18:44:05			61970	6	56
2022-06-17	18:44:05			61970	1	56
2022-06-17	18:44:05			61969	2	88
2022-06-17	18:44:05			61970	12	56
2022-06-17	18:44:05			61970	9	56
2022-06-17	18:44:06			61970	1	56
2022-06-17	18:44:06			61970	1	56
2022-06-17	18:44:06			61969	2	88
2022-06-17	18:44:06			61970	1	56
2022-06-17	18:44:06			61969	1	88
2022-06-17	18:44:06			61969	1	88
2022-06-17	18:44:07			61969	2	88
2022-06-17	18:44:07			61969	3	88
2022-06-17	18:44:07			61969	3	88
2022-06-17	18:44:07			61970	1	56
2022-06-17	18:44:07			61970	1	56
2022-06-17	18:44:07			61969	1	88
